,,,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,SCIENTIFIC OBJECTIVES & QUESTIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,GROWTH CONDITIONS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,SAMPLING RHIZODEPOSITS,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,PREPARING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES,ANALYZING THE SAMPLES
SAMPLING RHIZODEPOSITS,Which type of extraction solution would you like to use to collect rhizodeposits?,Extraction with a saline solution (ex: calcium chloride),Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Fully compatible,Incompatible,Incompatible,Incompatible,NA,NA,NA,Possible but odd,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Incompatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Possible but odd
SAMPLING RHIZODEPOSITS,Which type of extraction solution would you like to use to collect rhizodeposits?,Extraction with an organic solvent (ex: ethanol),Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Fully compatible,Incompatible,Incompatible,Incompatible,NA,NA,NA,Fully compatible,Possible but odd,Possible but odd,Incompatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Incompatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Possible but odd
SAMPLING RHIZODEPOSITS,What will be the duration over which sample will be collected?,Minutes,Possible but odd,Possible but odd,Fully compatible,Possible but odd,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Incompatible,Possible but odd,Possible but odd,Fully compatible,NA,NA,NA,NA,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Incompatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible
SAMPLING RHIZODEPOSITS,What will be the duration over which sample will be collected?,Hours,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Fully compatible,Possible but odd,NA,NA,NA,NA,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible
SAMPLING RHIZODEPOSITS,What will be the duration over which sample will be collected?,Days,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Incompatible,Possible but odd,Fully compatible,Possible but odd,NA,NA,NA,NA,Possible but odd,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible
SAMPLING RHIZODEPOSITS,What will be the duration over which sample will be collected?,Over the whole growing period,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Incompatible,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Incompatible,Possible but odd,Possible but odd,Possible but odd,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Possible but odd,Incompatible,NA,NA,NA,NA,Possible but odd,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible
SAMPLING RHIZODEPOSITS,What will be the type of materials used to collect rhizodeposits?,Plastic,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Incompatible,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Incompatible,Incompatible,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Possible but odd,Possible but odd,NA,NA,NA,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible
SAMPLING RHIZODEPOSITS,What will be the type of materials used to collect rhizodeposits?,Glass,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,NA,NA,NA,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible
SAMPLING RHIZODEPOSITS,What will be the type of materials used to collect rhizodeposits?,Metal,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,NA,NA,NA,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible
SAMPLING RHIZODEPOSITS,Do you intend to collect rhizodepositions in sterile conditions?,Non-sterile conditions,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,NA,NA,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Incompatible,Incompatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible
SAMPLING RHIZODEPOSITS,Do you intend to collect rhizodepositions in sterile conditions?,Sterile (or monoxenic) conditions,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Possible but odd,Possible but odd,Incompatible,Incompatible,Possible but odd,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Incompatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,NA,NA,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible
PREPARING THE SAMPLES,What is the type of sample you will analyze?,Solid sample,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Incompatible,Possible but odd,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,NA,NA,NA,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Fully compatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Incompatible,Fully compatible,Incompatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Fully compatible
PREPARING THE SAMPLES,What is the type of sample you will analyze?,Liquid sample,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Possible but odd,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,NA,NA,NA,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Possible but odd,Incompatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Incompatible,Incompatible,Incompatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible,Fully compatible
